arabic,arabic_romanization,hebrew,hebrew_romanization,layers
آب,ʔāb,אב,áv,shared_borrowing_source
آتى,ʔātā,נאות,na'ót,direct_cognate_he→ar
آذار,ʔāḏār,אדר,adár,shared_borrowing_source
آس,ʔās,הדס,haḏás,direct_cognate_he→ar
آشور,ʔāšūr,אשור,ashúr,shared_borrowing_source
آمن,ʔāmana,האמין,he'emín,direct_cognate_ar→he;direct_cognate_he→ar
آن,ʔān,אנה,'ána,direct_cognate_ar→he
آه,ʔāhi,אהה,ăhā́h,direct_cognate_he→ar
آية,ʔāya,אות,ot,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
أب,ʔab,אב,áv,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
أب,ʔab,אביב,avív,direct_cognate_he→ar
أبار,ʔabbār,אבר,'éver,direct_cognate_ar→he
أباسخيرون,ʔabāsḵīrūn,אבא,ába,shared_borrowing_source
أبجد,ʔabjad,אבגדי,avgadí,direct_cognate_he→ar
أبريل,ʔabrīl,אסתר,estér,shared_borrowing_source
أبريل,ʔabrīl,אפריל,apríl,shared_borrowing_source
أبق,ʔabaqa,נאבק,ne'evák,direct_cognate_he→ar
أبنوس,ʔabnūs,הבנה,havaná,shared_borrowing_source
أبهل,ʔabhal,ברוש,brósh,shared_borrowing_source
أبى,ʔabā,אבה,avá,direct_cognate_he→ar;shared_proto_semitic_root
أتان,ʔatān,אתון,atón,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
أتقن,ʔatqana,תיקן,tikén,direct_cognate_ar→he
أتوبوس,ʔotobūs,אוטובוס,ótobus,direct_cognate_he→ar
أتوبيس,ʔotobīs,אוטובוס,ótobus,shared_borrowing_source
أثر,ʔaṯṯara,אשר,ashér,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
أثل,ʔaṯl,אשל,éshel,direct_cognate_ar→he
أجر,ʔajara,אגר,agár,direct_cognate_ar→he
أجمة,ʔajama,אגם,agám,direct_cognate_ar→he;direct_cognate_he→ar;shared_borrowing_source
أحاديث,ʔaḥādīṯ,חדשות,khadashót,direct_cognate_he→ar
أحد,ʔaḥad,אחד,ekhád,direct_cognate_ar→he
أحيا,ʔaḥyā,החיה,hekheyá,direct_cognate_ar→he
أخ,ʔaḵ,אח,ákh,shared_proto_semitic_root
أخ,ʔaḵ,אחי,akhí,direct_cognate_he→ar
أخت,ʔuḵt,אחות,akhót,direct_cognate_he→ar;shared_proto_semitic_root
أخذ,ʔaḵaḏa,אחז,akház,direct_cognate_ar→he;direct_cognate_he→ar
أخر,ʔaḵḵara,אחר,achár,direct_cognate_ar→he
أخوة,ʔuḵuwwa,אחווה,akhavá,direct_cognate_he→ar
أدرك,ʔadraka,דרך,dérekh,direct_cognate_he→ar
أذكر,ʔaḏkara,הזכיר,hizkír,direct_cognate_ar→he
أذن,ʔuḏun,אוזן,ózen,direct_cognate_ar→he;shared_proto_semitic_root
أربعة,ʔarbaʕa,ארבע,arbá',shared_proto_semitic_root
أربعة,ʔarbaʕa,ארבעה,arba'á,shared_proto_semitic_root
أرثوذكس,ʔurṯūḏuks,אורתודוקסי,ortodóksi,shared_borrowing_source
أرخبيل,ʔarḵabīl,ארכיפלג,arkhipélag,shared_borrowing_source
أرز,ʔarz,ארז,érez,direct_cognate_ar→he;direct_cognate_he→ar
أرسطاطاليس,ʔarisṭāṭālīs,אריסטו,arísto,shared_borrowing_source
أرسطو,ʔarisṭū,אריסטו,arísto,shared_borrowing_source
أرسطوطاليس,ʔarisṭūṭālīs,אריסטו,arísto,shared_borrowing_source
أرض,ʔarḍ,ארץ,érets,direct_cognate_ar→he;shared_proto_semitic_root
أرم,ʔaram,ארם,arám,direct_cognate_ar→he
أرملة,ʔarmala,אלמנה,almaná,direct_cognate_he→ar
أرنب,ʔarnab,ארנב,arnáv,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
أرنب,ʔarnab,ארנבת,arnévet,direct_cognate_he→ar;shared_proto_semitic_root
أرى,ʔarā,הראה,her'á,direct_cognate_ar→he
أزر,ʔazara,עזר,'azár,direct_cognate_ar→he
أزعر,ʔazʕar,זעיר,za'ir,direct_cognate_he→ar
أس,ʔuss,יסוד,yesód,direct_cognate_ar→he
أس,ʔuss,שת,shat,direct_cognate_ar→he
أسر,ʔasara,אסר,asár,direct_cognate_he→ar;shared_proto_semitic_root
أسطوري,ʔusṭūriyy,היסטוריה,história,shared_borrowing_source
أسقى,ʔasqā,השקה,hishká,direct_cognate_ar→he;direct_cognate_he→ar
أسير,ʔasīr,אסיר,asír,shared_proto_semitic_root
أصر,ʔaṣarra,אצר,atsár,direct_cognate_he→ar
أصلح,ʔaṣlaḥa,הצליח,hitslíakh,direct_cognate_ar→he
أصهب,ʔaṣhab,צהב,tsahóv,direct_cognate_ar→he
أصيص,ʔaṣīṣ,עציץ,atsíts,direct_cognate_ar→he
أصيل,ʔaṣīl,אציל,atsíl,direct_cognate_ar→he;direct_cognate_he→ar
أطر,ʔaṭara,אטר,atár,direct_cognate_he→ar
أعور,ʔaʕwar,עיוור,ivér,direct_cognate_ar→he
أغسطس,ʔaḡusṭus,אוגוסט,ogúst,shared_borrowing_source
أغوى,ʔaḡwā,עוה,ʿiva,direct_cognate_he→ar
أفعى,ʔafʕan,אפעה,ef'é,direct_cognate_he→ar;shared_proto_semitic_root
أقام,ʔaqāma,הקים,hekím,direct_cognate_ar→he
أكار,ʔakkār,איכר,ikár,direct_cognate_ar→he;shared_borrowing_source
أكاف,ʔukkāf,אכף,ukáf,direct_cognate_ar→he
أكل,ʔakala,אוכל,ókhel,direct_cognate_he→ar
أكل,ʔakala,אכל,akhál,direct_cognate_he→ar;shared_proto_semitic_root
أكل,ʔakala,אכלה,okhlá,shared_proto_semitic_root
أكلال,ʔuklāl,יוקולילי,yukuleyli,shared_borrowing_source
أكلة,ʔakla,אכלה,okhlá,direct_cognate_he→ar
ألاسكا,ʔalāskā,אלסקה,aláska,shared_borrowing_source
ألبوم,ʔalbūm,אלבום,albóm,shared_borrowing_source
ألف,ʔalif,אילף,iléf,direct_cognate_ar→he
ألف,ʔalif,אלף,élef,direct_cognate_he→ar;shared_proto_semitic_root
ألف,ʔalif,אל״ף,álef,direct_cognate_he→ar
ألكسندروس,ʔaliksandarūs,אלכסנדר,aleksánder,shared_borrowing_source
ألم,ʔalima,אלמנה,almaná,direct_cognate_he→ar
أله,ʔallaha,אל,el,shared_proto_semitic_root
أله,ʔallaha,אלוה,elóah,shared_proto_semitic_root;shared_borrowing_source
ألوف,ʔulūf,אלוף,alúf,direct_cognate_he→ar
ألية,ʔalya,אליה,'eléha,direct_cognate_ar→he
أم,ʔumm,אם,em,direct_cognate_ar→he;shared_proto_semitic_root
أمات,ʔamāta,המית,hemít,direct_cognate_ar→he
أمة,ʔumma,אומה,'umá,direct_cognate_he→ar
أمة,ʔumma,אמה,amá,shared_proto_semitic_root
أمر,ʔamara,אמר,amár,direct_cognate_ar→he;direct_cognate_he→ar
أمس,ʔamsi,אמש,émesh,direct_cognate_he→ar
أنا,ʔana,אנוכי,anokhí,shared_proto_semitic_root
أنا,ʔana,אני,aní,direct_cognate_ar→he;shared_proto_semitic_root
أناخ,ʔanāḵa,נח,nákh,direct_cognate_ar→he;direct_cognate_he→ar
أناس,ʔunās,אנוש,enósh,shared_proto_semitic_root
أنبج,ʔanbaj,עמבה,'ámba,shared_borrowing_source
أنبوب,ʔunbūb,אבוב,abúv,direct_cognate_he→ar;shared_borrowing_source
أنت,ʔanta,את,et,shared_proto_semitic_root
أنت,ʔanta,אתה,atá,direct_cognate_he→ar;shared_proto_semitic_root
أنتم,ʔantum,אתם,atém,direct_cognate_ar→he;shared_proto_semitic_root
أنتن,ʔantunna,אתן,atén,shared_proto_semitic_root
أنثى,ʔunṯā,אישה,isháh,direct_cognate_ar→he
أنثى,ʔunṯā,אשה,ishá,direct_cognate_he→ar;shared_proto_semitic_root
أنف,ʔanf,אף,af,direct_cognate_ar→he;shared_proto_semitic_root
أنمي,ʔanimī,אנימה,ánime,shared_borrowing_source
أهل,ʔahl,אוהל,óhel,shared_proto_semitic_root
أو,ʔaw,או,'o,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
أوار,ʔuwār,אור,'ór,direct_cognate_ar→he;direct_cognate_he→ar
أورانوس,ʔūrānūs,אורנוס,uránus,shared_borrowing_source
أورث,ʔawraṯa,הוריש,horish,direct_cognate_ar→he
أوركسترا,ʔorkestrā,קריוקי,karyóki,shared_borrowing_source
أوساكا,ʔūsākā,אוסקה,ósaka,shared_borrowing_source
أوقع,ʔawqaʕa,הוקיע,hokía,direct_cognate_he→ar
أول,ʔawwal,א־ל,ʾ-l,shared_proto_semitic_root;shared_borrowing_source
أولاء,ʾulāʾi,אלה,éle,direct_cognate_he→ar
أوى,ʔawā,אי,í,direct_cognate_he→ar
أي,ʔayy,אי,í,shared_proto_semitic_root
أي,ʔayy,איה,ayé,shared_proto_semitic_root
أيل,ʔayyal,אייל,ayál,shared_proto_semitic_root
أيل,ʔayyal,איל,áyil,shared_proto_semitic_root
أيلول,ʔaylūl,אלול,'elúl,shared_borrowing_source
إبزيم,ʔibzīm,אבזם,avzám,shared_borrowing_source
إبهام,ʔibhām,בוהן,bóhen,direct_cognate_ar→he
إثم,ʔiṯm,אשמה,ashmá,direct_cognate_ar→he;direct_cognate_he→ar
إجاص,ʔijjāṣ,אגס,agás,direct_cognate_ar→he;shared_borrowing_source
إذ,ʔiḏ,אז,az,direct_cognate_he→ar
إذا,ʔiḏā,אז,az,direct_cognate_ar→he
إربيان,ʔirbiyān,ארבה,arbé,shared_proto_semitic_root
إزار,ʔizār,אזור,ezór,direct_cognate_he→ar
إزميل,ʔizmīl,אזמל,izmél,shared_borrowing_source
إستاد,ʔistād,אצטדיון,itstadyón,shared_borrowing_source
إسفنج,ʔisfanj,סופגנייה,sufganiyá,shared_borrowing_source
إسفنج,ʔisfanj,ספג,safág,shared_borrowing_source
إسفنج,ʔisfanj,ספוג,sfog,shared_borrowing_source
إسكدنيا,ʔiskidunyā,שסק,shések,direct_cognate_he→ar
إسكندر,ʔiskandar,אלכסנדר,aleksánder,shared_borrowing_source
إصبع,ʔiṣbaʕ,אצבע,étsba,shared_proto_semitic_root
إصطبل,ʔiṣṭabl,אצטדיון,itstadyón,shared_borrowing_source
إطرية,ʔiṭriya,אטריה,itriyá,shared_borrowing_source
إل,ʔill,אל,el,direct_cognate_he→ar;shared_proto_semitic_root
إل,ʔill,אלוה,elóah,shared_proto_semitic_root
إلا,ʔillā,אלא,elá,direct_cognate_ar→he;direct_cognate_he→ar
إلاهة,ʔilāha,א־ל,ʾ-l,shared_proto_semitic_root
إله,ʔilāh,אל,el,shared_proto_semitic_root
إله,ʔilāh,אלוה,elóah,direct_cognate_he→ar;shared_proto_semitic_root;shared_borrowing_source
إلى,ʔilā,אל,el,direct_cognate_he→ar;shared_proto_semitic_root
إن,ʔin,אין,en,direct_cognate_ar→he;direct_cognate_he→ar
إن,ʔin,אם,em,shared_proto_semitic_root
إن,ʔin,הנה,héna,direct_cognate_ar→he;direct_cognate_he→ar
إناء,ʔināʔ,אונייה,oniyá,direct_cognate_he→ar
إناء,ʔināʔ,אניה,ʾŏnīyá,direct_cognate_ar→he
إناء,ʔināʔ,דוד,dod,shared_proto_semitic_root
إناء,ʔināʔ,ידה,yadá,shared_proto_semitic_root
إناء,ʔināʔ,ירה,yará,shared_proto_semitic_root
إناء,ʔināʔ,כבד,kavéd,shared_proto_semitic_root
إناء,ʔināʔ,כיפר,kipér,shared_proto_semitic_root
إناء,ʔināʔ,כרוב,kruv,shared_proto_semitic_root
إناء,ʔināʔ,מחסנית,makhsanít,shared_proto_semitic_root
إناء,ʔināʔ,צלחת,tsalákhat,shared_proto_semitic_root
إنسان,ʔinsān,אנוש,enósh,shared_proto_semitic_root
إوز,ʔiwazz,אווז,aváz,direct_cognate_ar→he;direct_cognate_he→ar
إيدز,ʔīdz,איידס,éyds,shared_borrowing_source
ابن,ibn,ב־ן,b-n,shared_proto_semitic_root
ابن,ibn,בן,bén,shared_proto_semitic_root
ات,-āt,־ות,-út,direct_cognate_he→ar
اثنان,iṯnān,שניים,sh'náyim,shared_proto_semitic_root
است,ist,שת,shat,direct_cognate_ar→he;direct_cognate_he→ar
استحيا,istaḥyā,השתחוה,hishtakhavá,direct_cognate_ar→he
اسم,ism,שם,shem,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
اعتمل,iʕtamala,התעמל,hitamél,direct_cognate_he→ar
اقتنى,iqtanā,קנה,kaná,direct_cognate_ar→he
ال,al-,אל,el,direct_cognate_ar→he
ال,al-,ה־,ha-,direct_cognate_he→ar
الأردن,al-ʔurdun,ירדן,hayardén,direct_cognate_ar→he
الإسكندر,al-ʔiskandar,אלכסנדר,aleksánder,shared_borrowing_source
الرب,ar-rabb,רב,ráv,direct_cognate_ar→he
الرحمن,ar-raḥmān,הרחמן,haraḥaman,direct_cognate_he→ar
السلام عليكم,as-salāmu ʕalaykum,שלום עליכם,shalóm alekhém,direct_cognate_ar→he;direct_cognate_he→ar
الشام,aš-šām,שמאל,s'mól,direct_cognate_ar→he
الصين,aṣ-ṣīn,סין,sin,shared_borrowing_source
الفاسخ,al-fāsiḵ,פסח,pasákh,direct_cognate_ar→he
الفرات,al-furāt,פרת,p'rát,direct_cognate_he→ar;shared_borrowing_source
القرم,al-qirim,קרים,krim,shared_borrowing_source
الله,allāh,א־ל,ʾ-l,shared_proto_semitic_root;shared_borrowing_source
الله,allāh,אלוה,elóah,direct_cognate_ar→he
المشتري,al-muštarī,ישר,yashár,direct_cognate_ar→he
الهند,al-hind,הודו,hódu,shared_borrowing_source
اليابان,al-yābān,יפן,yapán,shared_borrowing_source
امرأة,imraʔa,נשים,nashím,direct_cognate_ar→he
ان,-ān,־ון,-on,direct_cognate_he→ar
ان,-ān,־ן,-án,direct_cognate_ar→he;direct_cognate_he→ar
انتقام,intiqām,נקמה,nekamá,direct_cognate_ar→he;direct_cognate_he→ar
انتقم,intaqama,נקם,nakám,direct_cognate_he→ar
بئر,biʔr,באר,be'ér,shared_proto_semitic_root
باء,bāʔa,בא,ba,direct_cognate_ar→he;direct_cognate_he→ar
بابل,bābil,בבל,bavél,shared_borrowing_source
بابونج,bābūnaj,בבונג,babonág,shared_borrowing_source
باد,bāda,אבד,avád,direct_cognate_ar→he
بار,bāra,באר,be'ér,shared_borrowing_source
بار,bāra,בר,bar,shared_borrowing_source
بارك,bāraka,בירך,berékh,direct_cognate_he→ar
بارك,bāraka,ברך,bérekh,direct_cognate_ar→he
باز,bāz,בז,baz,direct_cognate_ar→he
باسور,bāsūr,בוסר,bóser,direct_cognate_ar→he
باطية,bāṭiya,בת,bat,direct_cognate_he→ar
بالون,bālūn,בלון,balón,shared_borrowing_source
باي,bāy,ביי,báy,direct_cognate_he→ar
بتول,batūl,בתול,batúl,direct_cognate_he→ar
بتول,batūl,בתולה,betulá,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
بثن,baṯan,פתן,péten,shared_proto_semitic_root
بحث,baḥaṯa,בחש,bakhásh,direct_cognate_ar→he
بحران,buḥrān,בחר,bakhár,direct_cognate_ar→he
بدل,badala,בדל,b'dál,direct_cognate_ar→he;direct_cognate_he→ar
بدل,badala,הבדיל,hivdíl,direct_cognate_he→ar
بر,barr,בר,bar,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
برأ,baraʔa,ברא,bará,direct_cognate_he→ar
براغ,brāḡ,פראג,prag,shared_borrowing_source
برح,bariḥa,ברח,barákh,direct_cognate_ar→he;direct_cognate_he→ar
برد,barada,ברד,barád,direct_cognate_ar→he;direct_cognate_he→ar
برشلونة,baršalūna,ברצלונה,bartselóna,shared_borrowing_source
برغش,barḡaš,פרעוש,par'ósh,shared_proto_semitic_root
برغوث,burḡūṯ,פרעוש,par'ósh,shared_proto_semitic_root
برغي,burḡiyy,בורג,bóreg,shared_borrowing_source
برق,baraqa,ברק,barák,shared_proto_semitic_root
برك,baraka,ברך,bérekh,shared_proto_semitic_root
بركة,baraka,בריכה,brekhá,direct_cognate_ar→he
بركة,baraka,ברכה,b'rakhá,direct_cognate_he→ar
بريطانيا,birīṭāniyā,בריטניה,británya,shared_borrowing_source
بز,bazz,דד,dád,direct_cognate_ar→he
بز,bazz,זיז,ziz,direct_cognate_ar→he
بز,bazz,שבטבט,shvatbat,shared_borrowing_source
بستو,pestō,פסטו,pésto,shared_borrowing_source
بسر,basara,בוסר,bóser,direct_cognate_ar→he
بسطن,basaṭna,בוסטון,bóston,shared_borrowing_source
بسيط,basīṭ,פשוט,pashút,direct_cognate_ar→he
بشارة,bišāra,בשורה,b'sorá,direct_cognate_ar→he
بشام,bašām,בושם,bósem,direct_cognate_he→ar
بشر,bašar,בישר,bisér,direct_cognate_ar→he;direct_cognate_he→ar
بشر,bašar,בשר,basár,direct_cognate_he→ar
بصل,baṣal,בצל,batsál,direct_cognate_ar→he;direct_cognate_he→ar
بضع,biḍʕ,בצע,bétsa,direct_cognate_he→ar
بطاطا,baṭāṭā,בטטה,batáta,direct_cognate_he→ar;shared_borrowing_source
بطاطس,baṭāṭis,בטטה,batáta,shared_borrowing_source
بطل,baṭal,בטל,batál,shared_proto_semitic_root
بطم,buṭm,בוטן,bóten,direct_cognate_ar→he
بطن,baṭn,בטן,béten,direct_cognate_ar→he;direct_cognate_he→ar
بطيخ,biṭṭīḵ,אבטיח,avatíakh,direct_cognate_ar→he;direct_cognate_he→ar
بطيخ,biṭṭīḵ,רימון,rimón,direct_cognate_ar→he
بعر,baʕara,בער,ba'ár,direct_cognate_ar→he
بعل,baʕl,בעל,bá'al,shared_proto_semitic_root
بعير,baʕīr,בעיר,ba'ír,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
بق,baqqa,יבוק,Yabók,direct_cognate_he→ar
بقر,baqar,בקר,baqár,direct_cognate_ar→he;direct_cognate_he→ar
بقرة,baqara,בקר,baqár,direct_cognate_ar→he
بكاء,bukāʔ,בכי,békhi,direct_cognate_he→ar
بكر,bakara,בכור,b'khór,direct_cognate_ar→he;direct_cognate_he→ar
بكى,bakā,בכה,bakhá,direct_cognate_ar→he;direct_cognate_he→ar
بلا,balā,בלא,b'ló,direct_cognate_he→ar
بلاتين,balātīn,פלטינה,platína,shared_borrowing_source
بلاستيك,blastīk,פלסטיק,plástik,shared_borrowing_source
بلبل,bulbul,בלבל,bilbél,direct_cognate_he→ar
بلع,balaʕa,בלע,balá,direct_cognate_ar→he;direct_cognate_he→ar
بلوتو,blūtū,פלוטו,plúto,shared_borrowing_source
بلوط,ballūṭ,בלוט,balút,direct_cognate_he→ar
بلي,baliya,בלה,balá,direct_cognate_ar→he;direct_cognate_he→ar
بن,bn,ב־ן,b-n,shared_proto_semitic_root
بن,bn,בן,bén,direct_cognate_ar→he;shared_proto_semitic_root
بناء,bināʔ,בנייה,bəniyyɔ̂,direct_cognate_ar→he
بنت,bint,בת,bat,direct_cognate_ar→he;shared_proto_semitic_root
بنك,bank,בנק,bánk,shared_borrowing_source
بنى,banā,בנה,baná,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
بنيان,bunyān,בניין,binyɔn,direct_cognate_he→ar
بهر,bahara,בהיר,bahír,direct_cognate_ar→he
بهيمة,bahīma,בהמה,behemá,direct_cognate_he→ar
بوسطن,bōsṭon,בוסטון,bóston,shared_borrowing_source
بوص,būṣ,בוץ,bots,shared_proto_semitic_root
بوص,būṣ,שבטבט,shvatbat,shared_proto_semitic_root
بوصير,būṣīr,בוץ,bots,shared_proto_semitic_root
بوصير,būṣīr,שבטבט,shvatbat,shared_proto_semitic_root;shared_borrowing_source
بوط,būṭ,בוס,bós,shared_borrowing_source
بوط,būṭ,בוץ,bots,direct_cognate_he→ar
بولاد,būlād,פלדה,pladá,shared_borrowing_source
بيت,bayt,בית,báyit,direct_cognate_he→ar;shared_proto_semitic_root
بيت المقدس,bayt al-maqdis,בית המקדש,béit-hamikdásh,direct_cognate_ar→he;direct_cognate_he→ar
بيرة,bīra,בירה,birá,direct_cognate_he→ar
بيرقراطية,bīruqrāṭiyya,בירוקרטיה,berokrátya,shared_borrowing_source
بيض,bayḍ,אבץ,avátz,direct_cognate_he→ar
بيض,bayḍ,ביצה,betsá,direct_cognate_ar→he;direct_cognate_he→ar
بيقية,bīqiyya,דיוקן,d'yokán,shared_borrowing_source
بيلسان,baylasān,אפרסמון,afarsemón,shared_borrowing_source
بيلسان,baylasān,ברוש,brósh,shared_borrowing_source
بيلسان,baylasān,בשם,bósem,direct_cognate_ar→he
بين,bayna,בין,ben,direct_cognate_ar→he;direct_cognate_he→ar
تابوت,tābūt,תיבה,tevá,direct_cognate_ar→he;direct_cognate_he→ar;shared_borrowing_source
تارة,tāra,דור,dor,direct_cognate_ar→he
تارة,tāra,טור,túr,direct_cognate_ar→he
تارة,tāra,תור,tór,direct_cognate_ar→he
تاريخ,tārīḵ,ירח,yaréakh,shared_proto_semitic_root
تاريخ,tārīḵ,תאריך,ta'aríkh,shared_proto_semitic_root
تبريز,tabrīz,תבריז,tabriz,shared_borrowing_source
تبن,tabannin,תבן,téven,direct_cognate_ar→he;direct_cognate_he→ar
تحت,taḥtu,תחת,tákhat,direct_cognate_ar→he;direct_cognate_he→ar
تدمر,tadmur,תדמור,Tadmór,direct_cognate_ar→he;direct_cognate_he→ar
تر,turr,תור,tór,direct_cognate_ar→he
ترانزستور,tranzistur,טרנזיסטור,tranzístor,shared_borrowing_source
ترجم,tarjama,תרגם,tirgém,direct_cognate_ar→he;direct_cognate_he→ar
ترجمان,turjumān,תורגמן,turg'mán,direct_cognate_he→ar
ترجمان,turjumān,תרגמן,turg'mán,direct_cognate_ar→he
ترس,turs,תריס,tris,shared_borrowing_source
ترسة,tirsa,תריס,tris,shared_borrowing_source
ترنج,turunj,אתרוג,etróg,direct_cognate_he→ar;shared_borrowing_source
تسار,tsār,צאר,tsár,shared_borrowing_source
تسار,tsār,קיסר,kesár,shared_borrowing_source
تسعون,tisʕūn,תשעים,tišʻīm,direct_cognate_he→ar
تفاح,tuffāḥ,תפוח,tapúakh,direct_cognate_he→ar
تقن,tiqn,תיקון,tikún,direct_cognate_he→ar
تقن,tiqn,תקן,téken,direct_cognate_ar→he;direct_cognate_he→ar
تل,tall,תל,tél,shared_proto_semitic_root
